,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04316563606262207,0.001244354248046875,0.5148195876288659,0.5309170919742243,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 2}",11,0.4792332268370607,0.5092816787732042,0.5047923322683706,0.5383373688458434,0.5273311897106109,0.5366639806607575,0.5292207792207793,0.5265273311897106,0.5342019543973942,0.5437751004016064,0.008470490044434594,0.000309802551201554,0.020555191219760526,0.01217190801205502
1,0.045408201217651364,0.0009573936462402344,0.5586340206185567,0.5582892805147064,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 3}",10,0.5591054313099042,0.5601291364003228,0.5175718849840255,0.5230024213075061,0.5787781350482315,0.572119258662369,0.564935064935065,0.5635048231511254,0.5732899022801303,0.5726907630522088,0.005253956633842309,0.0001942302734503834,0.0217202868946335,0.01829983815351235
2,0.05106687545776367,0.0010154247283935547,0.5779639175257731,0.6041947456046981,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 4}",9,0.5239616613418531,0.5673930589184827,0.5654952076677316,0.6142050040355125,0.5819935691318328,0.6035455278001611,0.6136363636363636,0.6085209003215434,0.6058631921824105,0.6273092369477912,0.011170704431720146,7.021449417700712e-05,0.03208189306388058,0.02003989134323732
3,0.03791751861572266,0.0009919166564941405,0.601159793814433,0.6105286691988938,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 5}",8,0.6325878594249201,0.6368038740920097,0.5846645367412141,0.6150121065375302,0.572347266881029,0.6172441579371475,0.5811688311688312,0.5610932475884244,0.6351791530944625,0.6224899598393574,0.007068840284781596,4.8422244071900255e-05,0.026993793415769872,0.025855439563576638
4,0.04152393341064453,0.0012544155120849609,0.6095360824742269,0.6440064213622062,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 6}",7,0.5942492012779552,0.6594027441485069,0.597444089456869,0.6246973365617433,0.6334405144694534,0.6502820306204674,0.5811688311688312,0.6342443729903537,0.6416938110749185,0.6514056224899598,0.006940373830550306,0.00031517553226990177,0.023566437357015017,0.01264370632747486
5,0.04738759994506836,0.0009963512420654297,0.645618556701031,0.6799435161561622,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 7}",6,0.6230031948881789,0.6941081517352704,0.65814696485623,0.6908797417271993,0.6270096463022508,0.6704270749395649,0.6233766233766234,0.6567524115755627,0.6970684039087948,0.6875502008032128,0.008772183380088752,7.320669551048267e-05,0.028740026316604186,0.014187949585803257
6,0.048234081268310545,0.0010295391082763671,0.666881443298969,0.693446172221955,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 8}",5,0.6805111821086262,0.6892655367231638,0.6932907348242812,0.7110573042776432,0.5980707395498392,0.6502820306204674,0.6590909090909091,0.6993569131832797,0.7035830618892508,0.7172690763052209,0.009090437672980721,0.00018593185053256738,0.03748909550542094,0.02363573744701985
7,0.047617769241333006,0.0008785724639892578,0.6720360824742269,0.7093884175028998,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 9}",4,0.6198083067092651,0.6594027441485069,0.7220447284345048,0.7102502017756255,0.6559485530546624,0.7397260273972602,0.6818181818181818,0.7660771704180064,0.6807817589576547,0.6714859437751004,0.009656530506115384,0.00015601810146950262,0.033770724205073356,0.040174352536621445
8,0.05083332061767578,0.0009640216827392578,0.6868556701030928,0.7227832498111978,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 10}",3,0.7028753993610224,0.7150928167877321,0.6996805111821086,0.7247780468119451,0.6591639871382636,0.7510072522159549,0.6688311688311688,0.682475884244373,0.7035830618892508,0.7405622489959839,0.012245135590963338,0.00027975254607091594,0.018931764834545187,0.02366640157631326
9,0.05034017562866211,0.000894927978515625,0.7055412371134021,0.7472791542801965,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 12}",2,0.6805111821086262,0.7441485068603713,0.7124600638977636,0.741727199354318,0.684887459807074,0.7888799355358582,0.7142857142857143,0.7419614147909968,0.7361563517915309,0.7196787148594378,0.01257351284410679,0.00016937935123913057,0.020544190894724285,0.022633217921195502
10,0.04804220199584961,0.0009823322296142578,0.7164948453608248,0.76097592828591,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 15}",1,0.7060702875399361,0.7675544794188862,0.7348242811501597,0.7723970944309927,0.6784565916398714,0.774375503626108,0.7207792207792207,0.7379421221864951,0.742671009771987,0.7526104417670683,0.009072986248745547,5.061742666260297e-05,0.02277704926783738,0.013811636967012791
