,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.031747865676879886,0.0010054588317871093,0.4832474226804124,0.5011329348754983,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 2}",11,0.48562300319488816,0.5318805488297014,0.46006389776357826,0.48426150121065376,0.40836012861736337,0.48751007252215955,0.538961038961039,0.5056270096463023,0.5244299674267101,0.4963855421686747,0.009488829252192082,0.0002594858877416656,0.04674194560217994,0.017078512008019582
1,0.030767536163330077,0.0008714199066162109,0.5637886597938144,0.582185833953579,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 3}",10,0.6198083067092651,0.5924132364810331,0.5814696485623003,0.5996771589991929,0.5530546623794212,0.5930701047542305,0.538961038961039,0.5819935691318328,0.5244299674267101,0.5437751004016064,0.0071261010791647894,3.865764454607449e-05,0.033879042848887785,0.02002216263511076
2,0.03781418800354004,0.0008756160736083984,0.6018041237113402,0.6185733224222371,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 4}",8,0.6070287539936102,0.6166263115415658,0.5814696485623003,0.6303470540758677,0.5852090032154341,0.628525382755842,0.6331168831168831,0.6229903536977492,0.6026058631921825,0.5943775100401606,0.0041224973193888835,3.925751411608679e-05,0.018406269142391178,0.013010784875804891
3,0.026424741744995116,0.000872659683227539,0.5753865979381443,0.5795786810877106,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 5}",9,0.5942492012779552,0.6077481840193705,0.5431309904153354,0.516545601291364,0.6045016077170418,0.6349717969379532,0.6038961038961039,0.5916398713826366,0.5309446254071661,0.5469879518072289,0.007594653057303276,4.5709113546724275e-05,0.031677126028039806,0.042526968558767184
4,0.035553264617919925,0.0008882999420166016,0.6378865979381443,0.6723755483379266,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 6}",7,0.6261980830670927,0.682001614205004,0.6485623003194888,0.6828087167070218,0.5884244372990354,0.6720386784850927,0.6655844155844156,0.6607717041800643,0.6612377850162866,0.6642570281124498,0.003943887462418364,2.4607477116110238e-05,0.028300063591400165,0.008968669884485464
5,0.04297337532043457,0.0009369850158691406,0.6494845360824743,0.6852504041055902,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 7}",5,0.65814696485623,0.6981436642453591,0.6293929712460063,0.6852300242130751,0.5852090032154341,0.6752618855761483,0.6688311688311688,0.682475884244373,0.7068403908794788,0.685140562248996,0.003394520037568232,8.247215364720898e-05,0.040613068509483485,0.007398879651386767
6,0.027258968353271483,0.0008727073669433594,0.6436855670103093,0.6611101052350694,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 8}",6,0.645367412140575,0.6844229217110573,0.6325878594249201,0.6658595641646489,0.6109324758842444,0.669621273166801,0.6461038961038961,0.6302250803858521,0.6840390879478827,0.655421686746988,0.0074270849493165,1.2924486233546186e-05,0.023741333022079408,0.01802624540253077
7,0.0402437686920166,0.0008858203887939453,0.6778350515463918,0.7058402029248476,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 9}",4,0.7060702875399361,0.6941081517352704,0.6996805111821086,0.6852300242130751,0.6334405144694534,0.7139403706688154,0.6590909090909091,0.7234726688102894,0.6905537459283387,0.7124497991967872,0.00902556848621579,5.000896618228211e-05,0.027453349620383462,0.014018729080810304
8,0.035890626907348636,0.0009222984313964844,0.6804123711340206,0.7053867890924186,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 10}",3,0.6837060702875399,0.6924939467312349,0.7124600638977636,0.711864406779661,0.639871382636656,0.7187751813053989,0.6753246753246753,0.7315112540192926,0.6905537459283387,0.672289156626506,0.00633698808601602,5.036032521421879e-05,0.02375184640467682,0.02081045364073115
9,0.04962944984436035,0.0009511947631835937,0.6990979381443299,0.7397234195401705,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 12}",2,0.7060702875399361,0.7788539144471348,0.6996805111821086,0.7215496368038741,0.6784565916398714,0.7647058823529411,0.6493506493506493,0.7170418006430869,0.762214983713355,0.7164658634538152,0.01293023825346251,0.00016790225181910189,0.037072994169603406,0.02661193420142187
10,0.049066591262817386,0.0009143352508544922,0.7023195876288659,0.7395197921850011,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 15}",1,0.6741214057507987,0.7344632768361582,0.7635782747603834,0.7740112994350282,0.6270096463022508,0.6720386784850927,0.698051948051948,0.7717041800643086,0.749185667752443,0.7453815261044177,0.01906705205357887,3.8070303641786126e-05,0.049917633245165856,0.0369841259832904
